hour,settled
2026-08-09T04:00:00.000Z,12
2026-08-09T05:00:00.000Z,22
2026-08-09T06:00:00.000Z,19
2026-08-09T07:00:00.000Z,18
2026-08-09T08:00:00.000Z,5
