transaction_type,status,count,first_submitted,last_confirmed
2,1,68,2026-08-03T04:48:16.793Z,2026-08-03T13:30:16.428Z
3,1,268,2026-08-03T04:48:46.424Z,2026-08-03T13:31:36.432Z
4,1,5,2026-08-07T05:37:31.928Z,2026-08-07T07:00:10.915Z
