hour,settled
2026-08-03T04:00:00.000Z,7
2026-08-03T05:00:00.000Z,12
2026-08-03T06:00:00.000Z,29
2026-08-03T07:00:00.000Z,35
2026-08-03T08:00:00.000Z,36
2026-08-03T09:00:00.000Z,36
2026-08-03T10:00:00.000Z,32
2026-08-03T11:00:00.000Z,26
2026-08-03T12:00:00.000Z,39
2026-08-03T13:00:00.000Z,16
