id,strategy,status,total_royalty_micro,items,orders,created_at,earliest_processing_at,processing_started_at,processing_completed_at
51,TimeWindowBatch,3,1094601,8,4,2026-08-03T09:04:59.327Z,2026-08-03T09:09:59.328Z,2026-08-03T09:10:15.534Z,2026-08-03T09:11:54.396Z
52,TimeWindowBatch,3,1726061,10,4,2026-08-03T09:11:29.382Z,2026-08-03T09:16:29.382Z,2026-08-03T09:16:33.692Z,2026-08-03T09:17:14.449Z
53,TimeWindowBatch,3,1727910,11,4,2026-08-03T09:17:44.437Z,2026-08-03T09:22:44.438Z,2026-08-03T09:22:45.479Z,2026-08-03T09:24:14.484Z
54,TimeWindowBatch,3,1410554,8,4,2026-08-03T09:23:59.476Z,2026-08-03T09:28:59.476Z,2026-08-03T09:29:15.747Z,2026-08-03T09:30:54.560Z
55,TimeWindowBatch,3,2340169,11,4,2026-08-03T09:30:29.530Z,2026-08-03T09:35:29.530Z,2026-08-03T09:35:30.860Z,2026-08-03T09:36:34.599Z
56,TimeWindowBatch,3,2176302,12,4,2026-08-03T09:36:44.582Z,2026-08-03T09:41:44.582Z,2026-08-03T09:41:46.025Z,2026-08-03T09:43:34.651Z
57,TimeWindowBatch,3,1409622,6,4,2026-08-03T09:42:59.636Z,2026-08-03T09:47:59.636Z,2026-08-03T09:48:00.887Z,2026-08-03T09:49:54.701Z
58,TimeWindowBatch,4,753876,6,4,2026-08-03T09:49:29.688Z,2026-08-03T09:54:29.688Z,,2026-08-03T09:54:31.142Z
59,TimeWindowBatch,3,1681956,10,4,2026-08-03T09:55:44.741Z,2026-08-03T10:00:44.741Z,2026-08-03T10:00:49.077Z,2026-08-03T10:01:14.787Z
60,TimeWindowBatch,4,769907,7,4,2026-08-03T10:01:59.791Z,2026-08-03T10:06:59.792Z,,2026-08-03T10:07:00.849Z
61,TimeWindowBatch,3,1050741,8,4,2026-08-03T10:08:29.843Z,2026-08-03T10:13:29.845Z,2026-08-03T10:13:34.038Z,2026-08-03T10:13:54.911Z
62,TimeWindowBatch,3,1516017,10,4,2026-08-03T10:14:44.899Z,2026-08-03T10:19:44.901Z,2026-08-03T10:20:00.963Z,2026-08-03T10:21:34.963Z
63,TimeWindowBatch,3,1709635,12,4,2026-08-03T10:20:59.947Z,2026-08-03T10:25:59.949Z,2026-08-03T10:26:16.229Z,2026-08-03T10:27:14.999Z
64,TimeWindowBatch,3,1238003,7,4,2026-08-03T10:27:29.987Z,2026-08-03T10:32:29.989Z,2026-08-03T10:32:31.185Z,2026-08-03T10:32:55.077Z
65,TimeWindowBatch,3,2419691,13,4,2026-08-03T10:33:45.032Z,2026-08-03T10:38:45.035Z,2026-08-03T10:38:46.116Z,2026-08-03T10:39:55.082Z
66,TimeWindowBatch,3,1335311,9,4,2026-08-03T10:40:00.075Z,2026-08-03T10:45:00.078Z,2026-08-03T10:45:16.103Z,2026-08-03T10:46:55.142Z
67,TimeWindowBatch,3,2440183,15,4,2026-08-03T10:46:30.128Z,2026-08-03T10:51:30.131Z,2026-08-03T10:51:34.675Z,2026-08-03T10:52:35.178Z
